Volcano Name,Latitude,Longitude
Karymsky,54.049,159.443
Maly Semyachik,54.135,159.674
Bolshoi Semiachik,54.32,160.02
Taunshits,54.528,159.804
Uzon,54.4885,159.9741
Kikhpinych,54.489,160.251
Krasheninnikov,54.596,160.27
Kronotsky,54.753,160.533
Gamchen,54.974,160.703
Komarov,55.033,160.725
Vysoky,55.064,160.765
Kizimen,55.131,160.32
Tolbachik,55.832,160.326
Udina,55.758,160.527
Zimina,55.862,160.603
Bezymianny,55.972,160.595
Kamen,56.02,160.593
Klyuchevskoy,56.056,160.642
Ushkovsky,56.113,160.509
Sheveluch,56.653,161.36
Piip,55.42,167.33
Khangar,54.761,157.407
Cherpuk Group,55.55,157.47
Ichinsky,55.678,157.718
Bolshoi-Kekuknaysky,56.483,157.917
Alney-Chashakondzha,56.656,159.647
Shisheika,57.153,161.09
Terpuk,57.2,159.83
Sedanka Lava Field,57.317,160.067
Gorny Institute,57.33,160.2
Kinenin,57.35,160.97
Bliznetsy,57.35,161.37
Titila,57.406,160.108
Elovsky,57.55,160.53
Nylgimelkin,57.97,160.65
Spokoiny,58.13,160.82
Ostry,58.18,160.82
Severny,58.28,160.87
Udokan Plateau,56.28,117.77
Vitim Volcanic Field,53.75,113.25
Tunkin Depression,51.5,102.5
Jom-Bolok,52.713,99.021
Azas Plateau,52.433,98.303
Taryatu-Chulutu,48.133,99.95
Khanuy Gol,48.67,102.75
Dariganga Volcanic Field,45.754,114.279
Ashikule Volcanic Field,35.742,81.646
Honggeertu,41.59,113.111
Arxan-Chaihe,47.45,120.8
Keluo Group,49.37,125.92
Wudalianchi,48.722,126.15
Jingpohu,44.08,128.83
Longgang Group,42.33,126.5
Changbaishan,41.98,128.08
Ch'uga-ryong,38.33,127.33
Ulleungdo,37.5,130.87
Halla,33.361,126.53
Buldir,52.35,175.911
Kiska,52.103,177.602
Segula,52.015,178.136
Davidof,51.97,178.33
Little Sitkin,51.95,178.543
Semisopochnoi,51.93,179.58
Gareloi,51.79,-178.794
Tanaga,51.885,-178.146
Takawangha,51.873,-178.006
Bobrof,51.91,-177.438
Kanaga,51.923,-177.168
Moffett,51.944,-176.747
Great Sitkin,52.076,-176.13
Kasatochi,52.177,-175.508
Koniuji,52.22,-175.13
Atka Volcanic Complex,52.331,-174.139
Seguam,52.315,-172.51
Amukta,52.5,-171.252
Chagulak,52.577,-171.13
Yunaska,52.6394,-170.6317
Herbert,52.742,-170.111
Carlisle,52.894,-170.054
Cleveland,52.825,-169.944
Tana,52.83,-169.77
Uliaga,53.065,-169.77
Kagamil,52.974,-169.72
Vsevidof,53.13,-168.693
Recheschnoi,53.157,-168.539
Okmok,53.43,-168.13
Bogoslof,53.93,-168.03
Makushin,53.891,-166.923
Akutan,54.134,-165.986
Westdahl,54.516,-164.65
Fisher,54.65,-164.43
Shishaldin,54.756,-163.97
Roundtop,54.8,-163.589
Amak,55.4184,-163.1472
Frosty,55.067,-162.835
Dutton,55.183,-162.276
Emmons Lake Volcanic Center,55.3519,-162.0445
Pavlof,55.417,-161.894
Pavlof Sister,55.457,-161.854
Dana,55.641,-161.214
Stepovak Bay Group,55.917,-160.017
Kupreanof,56.011,-159.797
Veniaminof,56.17,-159.38
Black Peak,56.552,-158.785
Aniakchak,56.88,-158.17
Yantarni,57.019,-157.185
Chiginagak,57.135,-156.99
Kialagvik,57.203,-156.745
Ugashik-Peulik,57.751,-156.368
Ukinrek Maars,57.8344,-156.5203
Unnamed,57.87,-155.411
Martin,58.172,-155.361
Mageik,58.195,-155.253
Trident,58.236,-155.1
Katmai,58.279,-154.9533
Novarupta,58.2655,-155.1588
Griggs,58.354,-155.092
Snowy Mountain,58.336,-154.682
Denison,58.418,-154.449
Steller,58.4298,-154.3895
Kukak,58.453,-154.355
Kaguyak,58.6113,-154.0245
Fourpeaked,58.77,-153.672
Douglas,58.855,-153.542
Augustine,59.3626,-153.435
Iliamna,60.032,-153.09
Redoubt,60.485,-152.742
Spurr,61.299,-152.251
Hayes,61.64,-152.411
St. Paul Island,57.167,-170.213
Ingakslugwat Hills,61.43,-164.47
St. Michael,63.45,-162.12
Imuruk Lake,65.517,-163.45
Buzzard Creek,64.0616,-148.4327
Wrangell,62.006,-144.017
Churchill,61.38,-141.75
Edgecumbe,57.05,-135.75
Duncan Canal,56.5,-133.1
Tlevak Strait-Suemez Island,55.25,-133.3
Behm Canal-Rudyerd Bay,55.35,-131
Fort Selkirk,62.93,-137.38
Alligator Lake,60.42,-135.42
Atlin Volcanic Field,59.708,-133.358
Tuya Volcanic Field,59.37,-130.58
Heart Peaks,58.6,-131.97
Level Mountain,58.42,-131.35
Edziza,57.72,-130.63
Spectrum Range,57.43,-130.68
Hoodoo Mountain,56.78,-131.28
Iskut-Unuk River Cones,56.567,-130.75
Tseax River Cone,55.1109,-128.8991
Crow Lagoon,54.7,-130.23
Milbanke Sound Group,52.498,-128.723
Nazko,52.928,-123.732
Wells Gray-Clearwater,52.0306,-120.1125
Silverthrone,51.5179,-126.1133
Bridge River Cones,50.8,-123.4
Meager,50.63,-123.5
Garibaldi Lake,49.933,-123
Garibaldi,49.85,-123
Cayley Volcanic Field,50.12,-123.28
Baker,48.777,-121.813
Glacier Peak,48.112,-121.113
Rainier,46.853,-121.76
Adams,46.206,-121.49
St. Helens,46.2,-122.18
West Crater,45.88,-122.08
Indian Heaven,45.93,-121.82
Hood,45.374,-121.695
Jefferson,44.674,-121.8
Blue Lake Crater,44.4125,-121.7686
Sand Mountain Field,44.38,-121.93
Belknap,44.285,-121.8423
Three Sisters,44.133,-121.767
Bachelor,43.979,-121.688
Davis Lake,43.57,-121.82
Newberry,43.722,-121.229
Devils Garden,43.512,-120.861
Cinnamon Butte,43.2411,-122.1111
Crater Lake,42.942,-122.107
Diamond Craters,43.1,-118.75
Jordan Craters,43.147,-117.46
Shasta,41.409,-122.193
Medicine Lake,41.611,-121.554
Lassen Volcanic Center,40.492,-121.508
Clear Lake Volcanic Field,38.97,-122.77
Mono Lake Volcanic Field,38,-119.03
Mono-Inyo Craters,37.804,-119.029
Mammoth Mountain,37.631,-119.032
Ubehebe Craters,37.02,-117.45
Salton Buttes,33.197,-115.616
Black Butte Crater Lava Field,43.183,-114.352
Craters of the Moon,43.371,-113.493
Wapi Lava Field,42.8859,-113.2166
Hell's Half Acre,43.492,-112.4503
Soda Lakes,39.525,-118.8778
Markagunt Plateau,37.58,-112.67
Black Rock Desert,38.97,-112.5
Carrizozo,33.78,-105.93
Zuni-Bandera,34.8,-108
Red Hill-Quemado,34.25,-108.83
Dotsero,39.6613,-107.0355
Uinkaret Field,36.38,-113.13
San Francisco Volcanic Field,35.347,-111.678
West Valley Segment,48.78,-128.64
Endeavour Segment,47.95,-129.1
Cobb Segment,46.88,-129.33
CoAxial Segment,46.52,-129.58
Axial Seamount,45.95,-130
Cleft Segment,44.83,-130.3
North Gorda Ridge Segment,42.67,-126.78
Jackson Segment,42.15,-127.05
Escanaba Segment,40.98,-127.5
East Blanco Depression,44.267,-129.879
Kama'ehuakanaloa,18.92,-155.27
Kilauea,19.421,-155.287
Mauna Loa,19.475,-155.608
Mauna Kea,19.82,-155.47
Hualalai,19.692,-155.87
Haleakala,20.708,-156.25
Teahitia,-17.564,-148.821
Rocard,-17.662,-148.586
Moua Pihaa,-18.325,-148.525
Mehetia,-17.874,-148.068
Adams Seamount,-25.37,-129.27
Macdonald,-28.98,-140.25
Northern EPR at 17°N,16.55,-105.32
Northern EPR at 16°N,15.83,-105.43
Northern EPR at 10.7°N,10.73,-103.58
Northern EPR at 9.8°N,9.83,-104.3
Galapagos Rift,0.792,-86.15
Southern EPR at 8°S,-8.27,-107.95
Southern EPR at 17.5°S (Segment K),-17.436,-113.206
Southern EPR at 18.2°S (Segment J),-18.175,-113.35
Southern EPR at 18.5°S (Segment I),-18.53,-113.42
Hollister Ridge,-53.998,-139.845
Udintsev Transform,-56.153,-143.373
"Prieto, Cerro",32.418,-115.305
Pinacate,31.85,-113.5
"San Luis, Isla",29.9728,-114.4082
Jaraguay Volcanic Field,29.33,-114.5
San Borja Volcanic Field,28.5,-113.75
"Tortuga, Isla",27.438,-111.881
Comondu-La Purisima,26,-111.92
Barcena,19.3,-110.82
Socorro,18.78,-110.95
Durango Volcanic Field,24.15,-104.45
Sanganguey,21.45,-104.73
Ceboruco,21.125,-104.508
Mascota Volcanic Field,20.567,-104.817
Colima,19.514,-103.62
Michoacan-Guanajuato,19.85,-101.75
Zitacuaro-Valle de Bravo,19.4,-100.25
Jocotitlan,19.73,-99.758
"Toluca, Nevado de",19.108,-99.758
Chichinautzin,19.139,-99.16
Iztaccihuatl,19.179,-98.642
Popocatepetl,19.023,-98.622
"Malinche, La",19.231,-98.032
Serdan-Oriental,19.27,-97.47
"Humeros, Los",19.68,-97.45
"Atlixcos, Los",19.81,-96.527
Naolinco Volcanic Field,19.67,-96.75
Cofre de Perote,19.492,-97.15
"Gloria, La",19.33,-97.25
"Cumbres,  Las",19.15,-97.27
"Orizaba, Pico de",19.03,-97.27
San Martin,18.57,-95.2
"Chichon, El",17.3602,-93.2297
Tacana,15.132,-92.109
Tajumulco,15.043,-91.903
Santa Maria,14.757,-91.552
Almolonga,14.797,-91.519
Atitlan,14.583,-91.186
Toliman,14.612,-91.189
Acatenango,14.501,-90.876
Fuego,14.4748,-90.8806
Agua,14.465,-90.743
Pacaya,14.382,-90.601
Cuilapa-Barbarena,14.33,-90.4
Tecuamburro,14.156,-90.407
Jumaytepeque,14.34,-90.271
Moyuta,14.03,-90.1
Flores,14.308,-89.992
Tahual,14.43,-89.9
"Santiago, Cerro",14.33,-89.87
Suchitan,14.4,-89.78
Chingo,14.12,-89.73
Ixtepeque,14.42,-89.68
"Singuil, Cerro",14.054,-89.631
Apaneca Range,13.872,-89.742
Santa Ana,13.853,-89.63
Izalco,13.813,-89.633
Coatepeque Caldera,13.87,-89.55
San Salvador,13.734,-89.294
"Cinotepeque, Cerro",14.02,-89.25
Ilopango,13.672,-89.053
San Vicente,13.5969,-88.8375
Taburete,13.435,-88.532
Tecapa,13.494,-88.502
Usulutan,13.419,-88.471
"Tigre, El",13.47,-88.43
Chinameca,13.478,-88.33
San Miguel,13.434,-88.269
"Aramuaca, Laguna",13.428,-88.105
"Tigre, Isla del",13.274,-87.639
"Zacate Grande, Isla",13.33,-87.63
"Yojoa, Lago",14.964,-87.983
Cosiguina,12.98,-87.57
San Cristobal,12.702,-87.004
Telica,12.606,-86.84
"Negro, Cerro",12.506,-86.702
Las Pilas-El Hoyo Complex,12.4922,-86.6786
Momotombo,12.423,-86.539
Apoyeque,12.242,-86.342
Nejapa-Miraflores,12.12,-86.32
Masaya,11.9844,-86.1688
Granada,11.9,-85.979
Mombacho,11.826,-85.968
Zapatera,11.73,-85.82
Concepcion,11.538,-85.622
Orosi,10.98,-85.473
Rincon de la Vieja,10.83,-85.324
Miravalles,10.748,-85.153
Tenorio,10.673,-85.015
Arenal,10.463,-84.703
Platanar,10.3,-84.366
Poas,10.2,-84.233
Barva,10.135,-84.1
Irazu,9.979,-83.852
Turrialba,10.025,-83.767
Baru,8.808,-82.543
Romeral,5.203,-75.363
"Bravo, Cerro",5.091,-75.293
"Ruiz, Nevado del",4.892,-75.324
Santa Isabel,4.818,-75.365
"Tolima, Nevado del",4.658,-75.33
Machin,4.487,-75.389
"Huila, Nevado del",2.93,-76.03
Purace,2.3095,-76.3948
Sotara,2.108,-76.592
Dona Juana,1.5,-76.936
Galeras,1.22,-77.37
Azufral,1.08,-77.68
Cumbal,0.95,-77.87
Chiles-Cerro Negro,0.817,-77.938
Soche,0.552,-77.58
Chachimbiro,0.468,-78.287
Cuicocha,0.308,-78.364
Imbabura,0.258,-78.183
Mojanda,0.13,-78.27
Cayambe,0.029,-77.986
Reventador,-0.077,-77.656
Pululahua,0.0464,-78.49
Guagua Pichincha,-0.171,-78.598
Atacazo,-0.353,-78.617
Chacana,-0.375,-78.25
Antisana,-0.481,-78.141
Aliso,-0.53,-78
Sumaco,-0.538,-77.626
Iliniza,-0.662,-78.716
Cotopaxi,-0.677,-78.436
Quilotoa,-0.8592,-78.9044
Chimborazo,-1.469,-78.817
Tungurahua,-1.467,-78.442
Licto,-1.786,-78.614
Sangay,-2.005,-78.341
Fernandina,-0.37,-91.55
Ecuador,-0.02,-91.546
Wolf,0.02,-91.35
Darwin,-0.18,-91.28
Alcedo,-0.43,-91.12
"Negra, Sierra",-0.83,-91.17
"Azul, Cerro",-0.92,-91.408
Pinta,0.58,-90.75
Marchena,0.33,-90.47
Genovesa,0.32,-89.958
Santiago,-0.22,-90.77
Santa Cruz,-0.62,-90.33
San Cristobal,-0.88,-89.5
Quimsachata-Oroscocha,-14.131,-71.363
"Auquihuato, Cerro",-15.0726,-73.1914
Coropuna,-15.52,-72.65
Andahua-Orcopampa,-15.42,-72.33
Huambo,-15.78,-72.08
Sabancaya,-15.787,-71.857
"Misti, El",-16.2991,-71.4056
Ubinas,-16.345,-70.8972
Huaynaputina,-16.6144,-70.8542
Ticsani,-16.7586,-70.5981
Tutupaca,-17.026,-70.372
Yucamane,-17.184,-70.196
"Casiri, Nevados",-17.4852,-69.7886
Taapaca,-18.1,-69.5
Parinacota,-18.166,-69.142
Guallatiri,-18.42,-69.092
Isluga,-19.15,-68.83
Tata Sabaya,-19.13,-68.53
Irruputuncu,-20.73,-68.55
Olca-Paruma,-20.939,-68.413
Putana,-22.557,-67.853
Sairecabur,-22.719,-67.891
Licancabur,-22.83,-67.88
Guayaques,-22.895,-67.566
Purico Complex,-23,-67.75
Colachi,-23.236,-67.645
Acamarachi,-23.292,-67.618
Chiliques,-23.58,-67.7
Lascar,-23.37,-67.73
Cordon de Puntas Negras,-23.743,-67.534
Miniques,-23.82,-67.77
"Tujle, Cerro",-23.83,-67.95
Caichinque,-23.949,-67.74
Tilocalar,-23.97,-68.13
Pular,-24.188,-68.054
"Negrillar, La",-24.319,-68.59
Socompa,-24.396,-68.246
Llullaillaco,-24.72,-68.53
Corrida de Cori Volcanic Field,-25.083,-68.367
Lastarria,-25.168,-68.507
Cordon del Azufre,-25.336,-68.521
"Bayo Gorbea, Cerro",-25.414,-68.588
"Nevada, Sierra",-26.48,-68.58
Falso Azufre,-26.8,-68.37
"Incahuasi, Nevado de",-27.033,-68.296
"Ojos del Salado, Nevados",-27.109,-68.541
"Solo, El",-27.105,-68.713
Aracar,-24.29,-67.783
Unnamed,-25.078,-68.266
"Condor, El",-26.632,-68.361
Peinado,-26.623,-68.116
"Blanco, Cerro",-26.7657,-67.746
Tipas,-27.196,-68.561
Rapa Nui,-27.114,-109.356
Tupungatito,-33.425,-69.797
San Jose,-33.789,-69.895
Maipo,-34.164,-69.832
Palomo,-34.608,-70.295
"Atuel, Caldera del",-34.592,-69.921
Risco Plateado,-34.917,-69.981
Tinguiririca,-34.814,-70.352
Planchon-Peteroa,-35.223,-70.568
Infiernillo,-35.123,-69.9
Calabozos,-35.558,-70.496
Descabezado Grande,-35.58,-70.75
"Azul, Cerro",-35.653,-70.761
"Maule, Laguna del",-36.058,-70.492
San Pedro-Pellado,-35.989,-70.849
"Longavi, Nevado de",-36.1959,-71.1641
"Blancas, Lomas",-36.286,-71.009
"Resago, Volcan",-36.4606,-70.9033
Payun Matru,-36.422,-69.241
"Chillan, Nevados de",-36.868,-71.378
Tromen Volcanic Plateau,-37.144,-70.033
Antuco,-37.406,-71.349
Copahue,-37.856,-71.183
Callaqui,-37.92,-71.45
Tolhuaca,-38.31,-71.645
Lonquimay,-38.379,-71.586
"Blanca, Laguna",-39.02,-70.37
Llaima,-38.692,-71.729
Sollipulli,-38.97,-71.52
Caburgua-Huelemolle,-39.25,-71.75
Villarrica,-39.42,-71.93
Quetrupillan,-39.496,-71.722
Lanin,-39.637,-71.502
Huanquihue Group,-39.887,-71.58
Mocho-Choshuenco,-39.927,-72.027
Carran-Los Venados,-40.35,-72.07
Puyehue-Cordon Caulle,-40.59,-72.117
Antillanca Volcanic Complex,-40.783,-72.15
Puntiagudo-Cordon Cenizos,-40.969,-72.264
Osorno,-41.105,-72.496
Tronador,-41.157,-71.885
Cayutue-La Vigueria,-41.3,-72.27
Calbuco,-41.33,-72.618
Yate,-41.755,-72.396
Hornopiren,-41.874,-72.431
Apagado,-41.88,-72.58
Crater Basalt Volcanic Field,-42.018,-70.194
Huequi,-42.377,-72.578
Michinmahuida,-42.799,-72.445
Chaiten,-42.8349,-72.6514
Yanteles,-43.469,-72.782
Corcovado,-43.189,-72.794
Melimoyu,-44.08,-72.88
Puyuhuapi,-44.3,-72.53
Mentolat,-44.7,-73.08
Cay,-45.059,-72.984
Maca,-45.1,-73.17
"Hudson, Cerro",-45.9,-72.97
Lautaro,-49.019,-73.504
Aguilera,-50.33,-73.75
Reclus,-50.9395,-73.5802
Meullin,-45.22,-73.05
"Burney, Monte",-52.33,-73.4
Pali-Aike Volcanic Field,-52.082,-69.698
Fueguino,-54.97,-70.262
Saba,17.63,-63.23
"Quill, The",17.478,-62.96
Liamuiga,17.37,-62.8
Nevis Peak,17.15,-62.58
Soufriere Hills,16.72,-62.18
Soufriere Guadeloupe,16.044,-61.664
"Diables, Morne aux",15.612,-61.43
"Diablotins, Morne",15.503,-61.397
"Trois Pitons, Morne",15.37,-61.33
"Watt, Morne",15.307,-61.305
"Plat Pays, Morne",15.255,-61.341
Pelee,14.809,-61.166
Qualibou,13.83,-61.05
Soufriere St. Vincent,13.33,-61.18
Kick 'em Jenny,12.3,-61.64
St. Catherine,12.15,-61.67
Snaefellsjokull,64.8,-23.783
Helgrindur,64.866,-23.283
Ljosufjoll,64.9,-22.483
Reykjanes,63.817,-22.717
Eldey,63.733,-23
Krysuvik-Trolladyngja,63.917,-22.067
Fagradalsfjall,63.895,-22.258
Brennisteinsfjoll,63.933,-21.783
Hengill,64.083,-21.416
Hromundartindur,64.083,-21.333
Grimsnes,64.05,-20.883
Prestahnukur,64.583,-20.666
Oddnyjarhnjukur-Langjokull,64.85,-19.7
Hofsjokull,64.833,-18.766
Vestmannaeyjar,63.416,-20.266
Eyjafjallajokull,63.633,-19.633
Katla,63.633,-19.083
Tindfjallajokull,63.783,-19.716
Torfajokull,63.892,-19.122
Hekla,63.983,-19.666
Grimsvotn,64.416,-17.316
Thordarhyrna,64.267,-17.617
Bardarbunga,64.633,-17.516
Tungnafellsjokull,64.75,-17.916
Kverkfjoll,64.653,-16.647
Askja,65.033,-16.783
Fremrinamar,65.416,-16.666
Krafla,65.715,-16.728
Heidarspordar,65.583,-16.817
Theistareykir,65.883,-16.967
Tjornes Fracture Zone,66.309,-17.118
Oraefajokull,64,-16.65
Esjufjoll,64.25,-16.583
Snaefell,64.798,-15.56
Kolbeinsey Ridge,66.67,-18.5
Jan Mayen,71.082,-8.155
East Gakkel Ridge at 85°E,85.608,85.25
Pico Fracture Zone,38.75,-38.08
Flores,39.462,-31.216
Fayal,38.576,-28.713
Pico,38.47,-28.4
Sao Jorge,38.65,-28.08
Graciosa,39.02,-27.97
Terceira,38.73,-27.32
Don Joao de Castro Bank,38.23,-26.63
Sete Cidades,37.865,-25.785
Picos Fissural Volcanic System,37.78,-25.67
Agua de Pau,37.77,-25.47
Furnas,37.77,-25.32
Monaco Bank,37.6,-25.88
Madeira,32.73,-16.97
La Palma,28.57,-17.83
Hierro,27.73,-18.03
Tenerife,28.271,-16.641
Gran Canaria,28,-15.58
Fuerteventura,28.358,-14.02
Lanzarote,29.03,-13.63
Fogo,14.95,-24.35
Brava,14.8514,-24.7041
Romanche Fracture Zone,-0.433,-19.596
Ascension,-7.9458,-14.3667
Walvis Ridge at 33°S,-32.958,-5.22
Tristan da Cunha,-37.092,-12.28
Nightingale Island,-37.42,-12.48
Bouvet,-54.408,3.351
Buckle Island,-66.78,163.25
Young Island,-66.42,162.47
Sturge Island,-67.4,164.83
"Pleiades, The",-72.67,165.5
Melbourne,-74.35,164.7
Unnamed,-76.83,163
Morning,-78.5,163.53
Erebus,-77.53,167.17
Royal Society Range,-78.25,163.33
Berlin,-76.05,-136
Andrus,-75.8,-132.33
Takahe,-76.28,-112.08
Hudson Mountains,-74.33,-99.42
Deception Island,-62.9567,-60.6367
Penguin Island,-62.1,-57.93
Bridgeman Island,-62.063,-56.713
Paulet,-63.579,-55.78
Southern Thule,-59.442,-27.225
Bristol Island,-59.017,-26.533
Montagu Island,-58.445,-26.374
Saunders,-57.8,-26.483
Candlemas Island,-57.08,-26.67
Hodson,-56.712,-27.176
Leskov Island,-56.656,-28.14
Zavodovski,-56.3,-27.57
Protector Seamounts,-55.912,-28.167
Mount Haddington Volcanic Field,-64.15,-57.75
Melville,-62.02,-57.67
